1.042999999999998906e+01 1.179999999999999893e+01 1.478303827454151120e+00 1.457994432131445528e+00
1.488000000000000966e+01 1.630999999999999872e+01 1.449234604061636400e+00 1.438652453661781294e+00
1.872999999999995424e+01 2.030000000000000071e+01 1.432437716906281189e+00 1.424422541235939033e+00
2.131999999999996476e+01 2.266000000000000014e+01 1.420323525896546979e+00 1.414187033366196777e+00
2.296399999999998442e+01 2.417999999999999972e+01 1.411436474492535842e+00 1.406420144546260964e+00
2.411200000000001609e+01 2.504000000000000270e+01 1.404502312640165673e+00 1.400258769104856249e+00
2.496200000000002461e+01 2.572999999999999687e+01 1.398815512326776700e+00 1.395184621158238603e+00
2.583200000000000429e+01 2.621999999999999886e+01 1.393986971804640485e+00 1.390875783737985039e+00
2.647600000000001330e+01 2.671000000000000085e+01 1.389788389825859838e+00 1.387120250874455341e+00
2.701999999999997470e+01 2.735000000000000142e+01 1.386068993476818445e+00 1.383759265948811823e+00
2.751799999999994739e+01 2.786000000000000298e+01 1.382720056281786736e+00 1.380686216839337899e+00
2.806799999999997652e+01 2.841000000000000369e+01 1.379664922734509913e+00 1.377844974102839348e+00
2.844799999999996842e+01 2.878000000000000114e+01 1.376855598375849254e+00 1.375213281364602746e+00
2.878399999999999181e+01 2.918999999999999773e+01 1.374263918595756362e+00 1.372770214659436938e+00
2.914599999999998303e+01 2.955999999999999872e+01 1.371867552868845319e+00 1.370495988225261197e+00
2.949599999999998090e+01 2.990999999999999659e+01 1.369645597476803811e+00 1.368373752124899756e+00
2.981799999999998718e+01 3.010999999999999943e+01 1.367579139999286486e+00 1.366388907448295331e+00
3.011000000000001720e+01 3.044000000000000128e+01 1.365651019118171439e+00 1.364529937190726461e+00
3.032800000000006690e+01 3.064999999999999858e+01 1.363847692407625267e+00 1.362788878867340792e+00
3.060000000000005116e+01 3.069000000000000128e+01 1.362158862066715548e+00 1.361159039471676602e+00
3.079400000000003956e+01 3.091000000000000014e+01 1.360575006709565660e+00 1.359632827770782759e+00
3.094199999999999662e+01 3.108999999999999986e+01 1.359086976718724804e+00 1.358202154300241826e+00
3.117200000000000415e+01 3.121999999999999886e+01 1.357686592823134752e+00 1.356858576545823425e+00
3.138800000000000168e+01 3.136999999999999744e+01 1.356366712737197000e+00 1.355593928312972096e+00
3.151400000000002422e+01 3.156999999999999673e+01 1.355121126279495547e+00 1.354401070967284459e+00
3.171999999999998820e+01 3.164999999999999858e+01 1.353944486193048080e+00 1.353273768721836134e+00
3.192399999999997817e+01 3.176999999999999957e+01 1.352832169465961076e+00 1.352206742030169551e+00
3.204999999999999005e+01 3.197999999999999687e+01 1.351779944447611070e+00 1.351195701344034550e+00
3.220599999999998175e+01 3.211999999999999744e+01 1.350783751399654342e+00 1.350237283407116795e+00
3.235199999999998255e+01 3.222999999999999687e+01 1.349839735424050335e+00 1.349328774703658862e+00
3.248600000000000421e+01 3.232000000000000028e+01 1.348944411800848009e+00 1.348467640771392695e+00
3.260800000000001120e+01 3.239999999999999858e+01 1.348094855645627810e+00 1.347651278206704939e+00
3.275999999999997669e+01 3.242999999999999972e+01 1.347288662110923463e+00 1.346877153360722890e+00
